"comp","propedge","thick","msepred","timepred","cost"
0.356,0.899944436534453,1,0.00674982227334752,186.156026789254,0.0160576236128102
0.578,0.42540616227298,3,0.0029765371912752,74.1523290811328,0.00668415364533184
0.698,5.55768737231528e-05,1,0.00323395769762087,47.5777695087635,0.00561284617305905
0.608,0.42008508224854,3,0.00270019463966188,71.588075417032,0.00627959841051348
0.476,0.443497834356076,3,0.00443638540633446,106.473243733615,0.00976004759301521
0.668,0.40944292219966,3,0.0023561794052483,75.9257922310253,0.00615246901679957
0.482,0.442433618351188,3,0.00432825386257914,103.562282884772,0.00950636800681775
0.788,5.55768737231528e-05,1,0.001760245248105,30.3589037772821,0.00327819043696911
0.512,0.437112538326748,3,0.0038293301175652,90.9007234689967,0.00837436629101503
0.626,0.416892434233876,3,0.00256777628770398,71.5641190813227,0.00614598224177011
